match_id,event_component_id,event_date_utc,event_city_name,event_year,dominant_hazard,control_component_id,control_city_name,placebo_source_event_component_id,placebo_date_utc,placebo_source_event_year,placebo_source_rule,placebo_year_distance,placebo_month_distance,event_gpm_event_subset_precip_mm_est,control_gpm_event_subset_precip_mm_est,placebo_event_gpm_event_subset_precip_mm_est,observed_diff,placebo_diff,observed_minus_placebo_diff,placebo_status,event_country
6403|2020-01-21|Nizhnekamsk,6403,2020-01-21,Nizhnekamsk,2020,low_ceiling_1000m,6673,Лобаново,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric,Russia
10210|2020-01-03|Neyveli Township,10210,2020-01-03,Neyveli Township,2020,low_vis_5km,10842,Pontinamallayyapalem,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric,India
10210|2020-01-03|Neyveli Township,10210,2020-01-03,Neyveli Township,2020,low_vis_5km,11388,Durgachak,,,,missing_control_day_donor,,,0.0,0.201111,,-0.201111,,,missing_placebo_or_control_metric,India
10210|2020-01-03|Neyveli Township,10210,2020-01-03,Neyveli Township,2020,low_vis_5km,9614,Anchal,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric,India
10210|2020-11-25|Neyveli Township,10210,2020-11-25,Neyveli Township,2020,low_vis_5km,10842,Pontinamallayyapalem,,,,missing_control_day_donor,,,11.467222,0.048333,,11.418889,,,missing_placebo_or_control_metric,India
10210|2020-11-25|Neyveli Township,10210,2020-11-25,Neyveli Township,2020,low_vis_5km,11388,Durgachak,10210.0,2022-11-11,2022.0,same_control_component_hazard_cross_year_month_window,2.0,0.0,11.467222,0.0,0.0,11.467222,0.0,11.467222,ok_control_day,India
10210|2020-11-25|Neyveli Township,10210,2020-11-25,Neyveli Township,2020,low_vis_5km,9614,Anchal,,,,missing_control_day_donor,,,11.467222,0.0,,11.467222,,,missing_placebo_or_control_metric,India
56|2020-02-09|Brest,56,2020-02-09,Brest,2020,strong_wind,1585,Caen,,,,missing_control_day_donor,,,0.490556,0.085556,,0.405,,,missing_placebo_or_control_metric,France
56|2020-02-09|Brest,56,2020-02-09,Brest,2020,strong_wind,544,Saint-Nazaire,,,,missing_control_day_donor,,,0.490556,0.0,,0.490556,,,missing_placebo_or_control_metric,France
56|2020-02-09|Brest,56,2020-02-09,Brest,2020,strong_wind,944,Cherbourg-en-Cotentin,,,,missing_control_day_donor,,,0.490556,0.600556,,-0.11,,,missing_placebo_or_control_metric,France
56|2020-11-01|Brest,56,2020-11-01,Brest,2020,low_vis_5km,1585,Caen,,,,missing_control_day_donor,,,0.063333,0.0,,0.063333,,,missing_placebo_or_control_metric,France
56|2020-11-01|Brest,56,2020-11-01,Brest,2020,low_vis_5km,544,Saint-Nazaire,56.0,2024-12-25,2024.0,same_control_component_hazard_cross_year_month_window,4.0,1.0,0.063333,0.031111,0.105,0.032222,0.073889,-0.041667,ok_control_day,France
56|2020-11-01|Brest,56,2020-11-01,Brest,2020,low_vis_5km,944,Cherbourg-en-Cotentin,,,,missing_control_day_donor,,,0.063333,0.001667,,0.061666,,,missing_placebo_or_control_metric,France
1031|2020-09-28|Hamilton,1031,2020-09-28,Hamilton,2020,strong_wind,505,Wellington,1031.0,2020-09-18,2020.0,same_control_component_hazard_same_year_month_window,0.0,0.0,1.28,0.0,0.0,1.28,0.0,1.28,ok_control_day,New Zealand
1031|2020-09-28|Hamilton,1031,2020-09-28,Hamilton,2020,strong_wind,647,Lower Hutt,1031.0,2020-09-18,2020.0,same_control_component_hazard_same_year_month_window,0.0,0.0,1.28,0.0,0.0,1.28,0.0,1.28,ok_control_day,New Zealand
1031|2020-09-28|Hamilton,1031,2020-09-28,Hamilton,2020,strong_wind,1681,Le Havre,1031.0,2020-09-18,2020.0,same_control_component_hazard_same_year_month_window,0.0,0.0,1.28,0.0,0.0,1.28,0.0,1.28,ok_control_day,New Zealand
1031|2020-09-18|Hamilton,1031,2020-09-18,Hamilton,2020,strong_wind,505,Wellington,1031.0,2020-09-28,2020.0,same_control_component_hazard_same_year_month_window,0.0,0.0,0.196111,0.0,0.0,0.196111,0.0,0.196111,ok_control_day,New Zealand
1031|2020-09-18|Hamilton,1031,2020-09-18,Hamilton,2020,strong_wind,647,Lower Hutt,1031.0,2020-09-28,2020.0,same_control_component_hazard_same_year_month_window,0.0,0.0,0.196111,0.0,0.0,0.196111,0.0,0.196111,ok_control_day,New Zealand
1031|2020-09-18|Hamilton,1031,2020-09-18,Hamilton,2020,strong_wind,1681,Le Havre,1031.0,2020-09-28,2020.0,same_control_component_hazard_same_year_month_window,0.0,0.0,0.196111,0.0,0.0,0.196111,0.0,0.196111,ok_control_day,New Zealand
4339|2020-01-19|Lublin,4339,2020-01-19,Lublin,2020,low_ceiling_1000m,3850,Wołomin,4339.0,2020-12-17,2020.0,same_control_component_hazard_same_year_month_window,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day,Poland
