component_id,country,city_name,centroid_lat,centroid_lon,need_composite_z,support_residual_z,residual_public_support_gap_z,canonical_2024_q75,denominator_uncertainty_flag,available_field_expected_support_z,available_field_support_residual_z,available_field_q75,within_between_expected_support_z,within_between_support_residual_z,within_between_q75,country_fe_expected_support_z,country_fe_support_residual_z,country_fe_q75,need_no_hazard_z,no_hazard_support_residual_z,no_hazard_q75,dirichlet_selection_count,dirichlet_selection_frequency,weight_stability_class,model_core_primary_available_country_fe,graded_core_primary_available_within_between_frequency
1414,Russia,Smolensk,54.78482186723398,32.051985171519355,1.1011456035871638,-1.030436400796856,1.030436400796856,True,True,0.4790872256719412,-0.8181752601443466,True,0.640264081756625,-0.9793521162290304,True,0.278210864100019,-0.6172988985724244,True,0.3543900051557072,-0.6567938998930761,False,415,0.415,0.20-<0.50,True,False
1445,Nepal,Bharatpur,27.68491034215388,84.42289569539652,0.8072780307391504,-1.711668528965454,1.711668528965454,True,True,0.4275684661478337,-1.8746698128789636,True,0.08532605761383454,-1.5324274043449646,True,0.011853311216204865,-1.458954657947335,True,1.024372016722993,-2.0822393857579753,True,591,0.591,0.50-<0.80,True,True
1449,Thailand,Choeng Thale,8.00158987744583,98.32263627189307,0.8659026338010187,-0.979348754261506,0.979348754261506,True,True,0.5545252479850361,-1.198890233377266,True,0.5952045718960239,-1.2395695572882537,True,0.6283482866262194,-1.2727132720184493,True,1.0979753319465704,-1.3184437792182178,True,635,0.635,0.50-<0.80,True,True
1507,Hungary,Nyíregyháza,47.95115715688335,21.73046485565022,1.5288467191002184,-1.3120263701064443,1.3120263701064443,True,True,0.8111589474551222,-1.193895201542611,True,0.9193535590631398,-1.3020898131506287,True,0.8489712890953768,-1.2317075431828655,True,0.8913696755060875,-1.1274032697442569,True,1000,1.0,>=0.80,True,True
1581,Spain,Cádiz,36.52166778021581,-6.280892597162008,0.9957313478644594,-1.1709988526138866,1.1709988526138866,True,False,0.498743318454105,-0.8182873739943832,True,0.5880507496289238,-0.907594805169202,True,0.4690035407536016,-0.7885475962938798,True,1.0674598242709463,-0.9139990208846778,True,625,0.625,0.50-<0.80,True,True
1583,Ghana,Obuasi,6.20121306058934,-1.663599168207325,0.6960617578918191,-1.765879306296192,1.765879306296192,True,True,0.42266477062541746,-1.7928931335568477,True,-0.06165523220670507,-1.3085731307247253,True,0.16221295350151038,-1.5324413164329407,True,0.44290193149344564,-1.7250645796387332,False,582,0.582,0.50-<0.80,True,True
1603,Hungary,Debrecen,47.52703933778225,21.636251581322604,1.6939797063857502,-1.248159881342641,1.248159881342641,True,True,0.7713048361617741,-1.145441739519127,True,0.7952334194312517,-1.1693703227886045,True,0.7248511494634886,-1.0989880528208413,True,1.0986944961818292,-1.1305044675708258,True,951,0.951,>=0.80,True,True
1609,Belarus,Homel,52.44122024006198,30.97380045391052,1.5730874869135156,-1.2119244618323948,1.2119244618323948,True,True,0.4837190870323617,-1.0710156539427806,True,0.6707250567603344,-1.2580216236707535,True,0.23598803506472577,-0.8232846019751447,True,0.9469140546408833,-1.0591760914898427,True,852,0.852,>=0.80,True,True
1676,Spain,El Puerto de Santa María,36.59557527935873,-6.241356345633568,0.8965047286048073,-0.9598116516465424,0.9598116516465424,True,False,0.5864739370179474,-1.190969205388638,True,0.6112425102441129,-1.2157377786148036,True,0.49219530136879514,-1.096690569739486,True,1.1363963277862899,-1.314506823360448,True,794,0.794,0.50-<0.80,True,True
1753,Canada,Regina,50.45459208902833,-104.60801244506192,1.889140669210153,-1.225188317905629,1.225188317905629,True,True,0.7330762293328293,-1.124542127343335,True,0.5050657138741431,-0.8965316118846487,True,0.9600995373027545,-1.35156543531326,True,1.3437195047254704,-1.238829710152333,True,854,0.854,>=0.80,True,True
1757,Venezuela,Ciudad Ojeda,10.203649782130888,-71.31996212368931,1.508306423149237,-1.7385808460601144,1.7385808460601144,True,True,0.6080343738871173,-1.91246467441372,True,0.24993261399860592,-1.5543629145252087,True,-0.22063781107031477,-1.0837924894562878,True,1.462676855555974,-2.038830418171349,True,999,0.999,>=0.80,True,True
1820,India,Rajouri,33.38041772833057,74.3116780030883,1.0335330117968984,-1.5992280746868683,1.5992280746868683,True,True,0.2956512844907799,-1.7363682647707483,True,-0.09351888217134352,-1.347198098108625,True,-0.08154918870607997,-1.3591677915738885,True,0.4861469735983044,-1.765650665819435,False,796,0.796,0.50-<0.80,True,True
1855,Spain,Jerez,36.68492830246883,-6.125717281324548,0.6162656582439455,-1.3534822530903197,1.3534822530903197,True,False,0.37622113012640535,-0.9335502626742297,True,0.5990607976123046,-1.1563899301601288,True,0.48001358873697986,-1.037342721284804,True,0.5910398348648543,-0.9383767313493672,False,469,0.469,0.20-<0.50,True,False
1883,Russia,Cherepovets,59.12772677519615,37.89810609719849,1.4278192651637536,-1.3911931273639708,1.3911931273639708,True,True,0.5096134027826477,-1.257822062900913,True,0.48247584069438504,-1.2306845008126504,True,0.12042262303778528,-0.8686312831560506,True,0.7645294898169178,-1.1737544616907614,True,905,0.905,>=0.80,True,True
1898,Azerbaijan,Şirvan,39.9447906107646,48.93458584116525,0.6900036653198581,-0.8054218471379073,0.8054218471379073,True,False,0.45677236907083013,-0.990518433707221,True,0.3638304914703166,-0.8975765561067075,True,0.8120520999365624,-1.3457981645729533,True,0.2666511632539593,-0.8389448914771449,False,482,0.482,0.20-<0.50,True,False
1941,Spain,Mairena del Aljarafe,37.368757026059214,-6.049532432783965,0.6930533838270924,-1.286550691787978,1.286550691787978,True,True,0.5163162998583438,-0.8810720933282761,True,0.6497851543507944,-1.0145409478207266,True,0.5307379454754724,-0.8954937389454045,True,0.6874469894759221,-0.8844665122445448,True,508,0.508,0.50-<0.80,True,True
1963,Romania,Suceava,47.66172811823844,26.256368405582897,0.7472333888448369,-0.8111130361335934,0.8111130361335934,True,True,0.47710207658383175,-0.9836168639081256,True,0.6981255690120464,-1.2046403563363404,True,0.6512662012987132,-1.157780988623007,True,0.9489858396913098,-1.1244351779745396,True,630,0.63,0.50-<0.80,True,True
2024,Spain,Seville,37.38753274202492,-5.959877041214945,1.056058917464544,-1.1524891448211418,1.1524891448211418,True,True,0.42770210954519366,-0.7816435680060154,True,0.6015662921705114,-0.9555077506313332,True,0.482519083295183,-0.8364605417560048,True,1.1432012176456952,-0.9182918696664204,True,488,0.488,0.20-<0.50,True,False
