draw,retained_2024,countries_2024,overlap_with_primary_count_2024,jaccard_vs_primary_q75_2024,w_demand,w_hazard,w_urban_form
164,574,87,356,0.4096662830840046,0.1242960650465601,0.6593228770321583,0.2163810579212815
165,713,81,531,0.6374549819927972,0.4639530936041006,0.2414512324559964,0.2945956739399029
166,636,67,255,0.24709302325581395,0.9933424654218306,0.0022534514470156,0.0044040831311538
167,736,85,586,0.731585518102372,0.3924062923837534,0.274537878129623,0.3330558294866236
168,530,76,305,0.3481735159817352,0.192268158145482,0.7640936636327111,0.0436381782218067
169,672,68,291,0.2819767441860465,0.8669773176125253,0.1279222305378952,0.0051004518495794
170,673,69,315,0.3121902874132805,0.7938356827947906,0.1704513423138899,0.0357129748913193
171,701,74,439,0.48083242059145676,0.5995140712089618,0.2352357325765706,0.1652501962144674
172,729,83,563,0.6891064871481029,0.4379878102693807,0.301932457030683,0.2600797326999363
173,735,88,502,0.5678733031674208,0.3594060747307842,0.1487036409918092,0.4918902842774065
174,542,76,326,0.3760092272202999,0.2053499846225821,0.6996607398742793,0.0949892755031386
175,700,74,436,0.47650273224043715,0.6058908164631267,0.2329438655303833,0.16116531800649
176,691,71,461,0.5232690124858116,0.5157399687874278,0.3738587976183566,0.1104012335942155
177,672,81,420,0.46511627906976744,0.4856636046250481,0.0021673884981243,0.5121690068768276
178,771,98,464,0.48434237995824636,0.0286073884676823,0.3138781703412051,0.6575144411911126
179,621,82,439,0.5270108043217286,0.2576601927393776,0.5306083174239671,0.2117314898366553
180,762,100,466,0.49208025343189016,0.023700345920279,0.3634277593517572,0.6128718947279636
181,634,96,440,0.5207100591715976,0.0350268041998835,0.5448505248978124,0.420122670902304
182,706,86,436,0.4733984799131379,0.3701283927190745,0.0201836455479116,0.6096879617330139
183,653,71,309,0.31055276381909547,0.8408171125650191,0.0649942032453404,0.0941886841896404
184,750,98,497,0.5497787610619469,0.0986055429909445,0.3641264920034649,0.5372679650055907
185,692,75,455,0.5123873873873874,0.589680433404042,0.1773849782672499,0.2329345883287081
186,777,97,437,0.4409687184661958,0.031605429129218,0.1870077273039105,0.7813868435668715
187,698,92,526,0.6391251518833536,0.1547492889024425,0.4148081957434932,0.4304425153540641
188,591,84,413,0.49819059107358266,0.169339182365057,0.5754240806772625,0.2552367369576805
189,586,91,413,0.5012135922330098,0.0752857378670632,0.6005896139158329,0.3241246482171038
190,629,79,387,0.4333706606942889,0.6342097115916159,0.0230464006373371,0.3427438877710469
191,654,69,294,0.29080118694362017,0.8776539266823516,0.059944757582925,0.0624013157347232
192,717,81,536,0.6442307692307693,0.4587542578108417,0.2304128641010617,0.3108328780880966
193,768,98,448,0.46138002059732236,0.0044454027305252,0.279113386402979,0.7164412108664957
194,741,85,543,0.6395759717314488,0.3593792660605022,0.2180281968268644,0.4225925371126333
195,615,75,400,0.4618937644341801,0.3980555974350149,0.549355843741923,0.0525885588230619
196,679,69,379,0.39852786540483703,0.6308875315168198,0.3260671662865682,0.0430453021966121
197,526,84,294,0.332955832389581,0.0010713149351605,0.7753143028252876,0.2236143822395519
198,746,96,510,0.5749718151071026,0.129868346035487,0.363174506022913,0.5069571479416
199,681,70,358,0.3675564681724846,0.7146444411044809,0.2037927127122597,0.0815628461832593
200,651,84,497,0.6173913043478261,0.2656427573767035,0.4770568299133474,0.2573004127099491
201,507,81,252,0.2781456953642384,0.0193558662851268,0.8888599224417788,0.0917842112730943
202,624,80,428,0.5053128689492326,0.3494192938041974,0.5302140986662014,0.1203666075296012
203,763,99,478,0.5106837606837606,0.0526361890430555,0.3467231380342169,0.6006406729227277
204,658,70,290,0.2845927379784102,0.8806797712368566,0.0737835420506482,0.0455366867124952
205,687,73,377,0.3922996878251821,0.6695096106656335,0.2644008240464842,0.0660895652878823
206,696,68,324,0.31671554252199413,0.770672914312033,0.208841952661322,0.0204851330266449
207,737,84,561,0.6783555018137848,0.3825243497997598,0.2442194791539083,0.3732561710463317
208,781,98,437,0.4391959798994975,0.0137712339852715,0.1923326064191272,0.7938961595956011
209,757,97,390,0.3831041257367387,0.0705945647388319,0.0205533282698839,0.9088521069912842
210,773,99,455,0.4695562435500516,0.0001003037758479,0.3358550672748395,0.6640446289493126
211,682,79,456,0.5199543899657925,0.5328902296797664,0.100764746704029,0.3663450236162046
212,579,84,377,0.44196951934349354,0.1952164759748989,0.6186955487693939,0.186087975255707
213,692,74,472,0.5419058553386912,0.4888338887795834,0.4010535160199601,0.1101125952004565
214,686,85,568,0.7386215864759428,0.3282654284605041,0.3970204892490213,0.2747140822904745
215,594,83,400,0.47337278106508873,0.2002970270378044,0.5869325714451197,0.2127704015170759
216,509,78,265,0.29608938547486036,0.0503772970451782,0.8373771361827254,0.1122455667720963
217,706,74,445,0.48793859649122806,0.5946792052265913,0.2304023753959789,0.1749184193774297
218,634,91,479,0.5942928039702233,0.1311656474860541,0.5172512181565626,0.3515831343573832
219,771,93,451,0.46446961894953653,0.2459412305048153,0.0733769898427952,0.6806817796523894
220,634,80,454,0.54632972322503,0.3126046930305422,0.5061083346117755,0.1812869723576821
221,682,91,507,0.6138014527845036,0.125733682177898,0.4425226690316252,0.4317436487904768
222,717,88,446,0.4837310195227766,0.3561608490831531,0.0483654292940364,0.5954737216228105
223,735,85,540,0.6382978723404256,0.3915783843434628,0.2037431394878532,0.4046784761686839
224,763,98,476,0.5074626865671642,0.1258873350815234,0.2105595833894835,0.6635530815289931
225,515,76,259,0.2855567805953694,0.0892852761244886,0.8627602687062097,0.0479544551693017
226,693,68,336,0.3333333333333333,0.740871388430394,0.2288050471169722,0.0303235644526336
227,630,68,282,0.2822822822822823,0.9054622153069416,0.0089392658776528,0.0855985188154054
228,734,89,445,0.4734042553191489,0.3195571068865296,0.0504621716219341,0.6299807214915362
229,588,94,408,0.49097472924187724,0.0347592510922764,0.6005709215860785,0.364669827321645
230,658,71,435,0.4977116704805492,0.5054921677586357,0.4339424679352179,0.0605653643061463
231,574,80,362,0.41946697566628044,0.2505804534147097,0.6304197725077887,0.1189997740775017
232,711,82,535,0.6469165659008465,0.4276896351807433,0.3568847711290789,0.2154255936901779
233,603,95,434,0.5292682926829269,0.0731797981406235,0.5595605146302562,0.3672596872291203
234,673,81,441,0.49943374858437145,0.5059540140218847,0.0515989307121473,0.442447055265968
235,760,97,403,0.3998015873015873,0.0912746661183669,0.040132112617792,0.8685932212638411
236,728,86,481,0.5356347438752784,0.3479099703188901,0.1170455517501585,0.5350444779309513
237,656,95,442,0.5109826589595375,0.0111982142730789,0.5078834867309164,0.4809182989960046
238,507,78,242,0.26419213973799127,0.0262729438829918,0.9509819288723812,0.022745127244627
239,709,86,438,0.4750542299349241,0.3670607665782832,0.029045147344525,0.6038940860771917
