match_id,control_id,event_component_id,event_date_utc,event_country,dominant_hazard,control_component_id,control_country,observed_event_gpm_mm,control_gpm_mm,observed_diff,false_event_source_event_component_id,false_event_date_utc,false_event_source_country,false_event_source_rule,false_event_gpm_mm,false_event_diff,observed_minus_false_event_diff,false_event_status
6403|2020-02-01|Nizhnekamsk,6403|2020-02-01|Nizhnekamsk|ctrl2,6403,2020-02-01,Russia,low_ceiling_300m,6242,Russia,0.0,0.136667,-0.136667,,,,missing_false_event_donor,,,,missing_false_event_or_metric
6403|2020-02-01|Nizhnekamsk,6403|2020-02-01|Nizhnekamsk|ctrl3,6403,2020-02-01,Russia,low_ceiling_300m,6673,Russia,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
6403|2020-01-21|Nizhnekamsk,6403|2020-01-21|Nizhnekamsk|ctrl1,6403,2020-01-21,Russia,low_ceiling_1000m,6031,Russia,0.0,0.27,-0.27,,,,missing_false_event_donor,,,,missing_false_event_or_metric
6403|2020-01-21|Nizhnekamsk,6403|2020-01-21|Nizhnekamsk|ctrl2,6403,2020-01-21,Russia,low_ceiling_1000m,6242,Russia,0.0,0.028333,-0.028333,,,,missing_false_event_donor,,,,missing_false_event_or_metric
6403|2020-01-21|Nizhnekamsk,6403|2020-01-21|Nizhnekamsk|ctrl3,6403,2020-01-21,Russia,low_ceiling_1000m,6673,Russia,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
10210|2020-01-03|Neyveli Township,10210|2020-01-03|Neyveli Township|ctrl1,10210,2020-01-03,India,low_vis_5km,10842,India,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
10210|2020-01-03|Neyveli Township,10210|2020-01-03|Neyveli Township|ctrl2,10210,2020-01-03,India,low_vis_5km,11388,India,0.0,0.201111,-0.201111,,,,missing_false_event_donor,,,,missing_false_event_or_metric
10210|2020-01-03|Neyveli Township,10210|2020-01-03|Neyveli Township|ctrl3,10210,2020-01-03,India,low_vis_5km,9614,India,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
10210|2020-11-25|Neyveli Township,10210|2020-11-25|Neyveli Township|ctrl1,10210,2020-11-25,India,low_vis_5km,10842,India,11.467222,0.048333,11.418889,,,,missing_false_event_donor,,,,missing_false_event_or_metric
10210|2020-11-25|Neyveli Township,10210|2020-11-25|Neyveli Township|ctrl2,10210,2020-11-25,India,low_vis_5km,11388,India,11.467222,0.0,11.467222,,,,missing_false_event_donor,,,,missing_false_event_or_metric
10210|2020-11-25|Neyveli Township,10210|2020-11-25|Neyveli Township|ctrl3,10210,2020-11-25,India,low_vis_5km,9614,India,11.467222,0.0,11.467222,,,,missing_false_event_donor,,,,missing_false_event_or_metric
56|2020-02-09|Brest,56|2020-02-09|Brest|ctrl1,56,2020-02-09,France,strong_wind,1585,France,0.490556,0.085556,0.405,1031.0,2020-09-28,New Zealand,same_year_hazard_control_country,1.28,1.194444,-0.789444,ok
56|2020-02-09|Brest,56|2020-02-09|Brest|ctrl2,56,2020-02-09,France,strong_wind,544,France,0.490556,0.0,0.490556,1031.0,2020-09-28,New Zealand,same_year_hazard_control_country,1.28,1.28,-0.789444,ok
56|2020-02-09|Brest,56|2020-02-09|Brest|ctrl3,56,2020-02-09,France,strong_wind,944,France,0.490556,0.600556,-0.11,1031.0,2020-09-28,New Zealand,same_year_hazard_control_country,1.28,0.679444,-0.789444,ok
56|2020-11-01|Brest,56|2020-11-01|Brest|ctrl1,56,2020-11-01,France,low_vis_5km,1585,France,0.063333,0.0,0.063333,,,,missing_false_event_donor,,,,missing_false_event_or_metric
56|2020-11-01|Brest,56|2020-11-01|Brest|ctrl2,56,2020-11-01,France,low_vis_5km,544,France,0.063333,0.031111,0.032222,,,,missing_false_event_donor,,,,missing_false_event_or_metric
56|2020-11-01|Brest,56|2020-11-01|Brest|ctrl3,56,2020-11-01,France,low_vis_5km,944,France,0.063333,0.001667,0.061666,,,,missing_false_event_donor,,,,missing_false_event_or_metric
1031|2020-09-28|Hamilton,1031|2020-09-28|Hamilton|ctrl1,1031,2020-09-28,New Zealand,strong_wind,505,New Zealand,1.28,0.0,1.28,,,,missing_false_event_donor,,,,missing_false_event_or_metric
1031|2020-09-28|Hamilton,1031|2020-09-28|Hamilton|ctrl2,1031,2020-09-28,New Zealand,strong_wind,647,New Zealand,1.28,0.0,1.28,,,,missing_false_event_donor,,,,missing_false_event_or_metric
1031|2020-09-28|Hamilton,1031|2020-09-28|Hamilton|ctrl3,1031,2020-09-28,New Zealand,strong_wind,1681,France,1.28,0.0,1.28,56.0,2020-02-09,France,same_year_hazard_control_country,0.490556,0.490556,0.789444,ok
1031|2020-09-18|Hamilton,1031|2020-09-18|Hamilton|ctrl1,1031,2020-09-18,New Zealand,strong_wind,505,New Zealand,0.196111,0.0,0.196111,,,,missing_false_event_donor,,,,missing_false_event_or_metric
1031|2020-09-18|Hamilton,1031|2020-09-18|Hamilton|ctrl2,1031,2020-09-18,New Zealand,strong_wind,647,New Zealand,0.196111,0.0,0.196111,,,,missing_false_event_donor,,,,missing_false_event_or_metric
1031|2020-09-18|Hamilton,1031|2020-09-18|Hamilton|ctrl3,1031,2020-09-18,New Zealand,strong_wind,1681,France,0.196111,0.0,0.196111,56.0,2020-02-09,France,same_year_hazard_control_country,0.490556,0.490556,-0.294445,ok
