component_id,country,city_name,need_composite_z,public_support_z,expected_public_support_z,support_residual_z,residual_deficit_q75,available_field_expected_public_support_z,available_field_support_residual_z,available_field_q75_flag
117,Zimbabwe,Bulawayo,-0.6701956414116435,1.05185694612708,0.3530121539800305,0.6988447921470493,False,0.099251952453254,0.9526049936738259,False
118,South Sudan,Wau,-0.861776014317832,-0.3002606629939125,-0.0084218742395644,-0.2918387887543481,False,-0.1421937594783498,-0.1580669035155627,False
119,Cyprus,Pafos,0.7300703212581465,-0.5439089336810969,0.6777589220609588,-1.2216678557420555,True,0.903712255428232,-1.447621189109329,True
120,Burundi,Cibitoke,-1.4594691141593683,-1.308078509927266,-0.4135473123876968,-0.8945311975395692,False,-0.7319641410865592,-0.5761143688407069,False
121,Rwanda,Rubavu,-0.8439742505893871,1.0914660767628572,0.2043063498467356,0.8871597269161215,False,-0.046721528517667504,1.1381876052805247,False
122,Swaziland,Manzini,-0.2288688540191491,1.05042372100539,0.2906741461712966,0.7597495748340933,False,0.332102424528136,0.718321296477254,False
123,Northern Cyprus,Nicosia,1.2191178093443067,-0.0762866644317362,0.9473427932918134,-1.0236294577235496,True,1.0412494334936948,-1.117536097925431,True
124,Tanzania,Kigoma,-0.7367421259093683,-0.1454723498514661,0.2470095596407195,-0.3924819094921857,False,0.017757777417182236,-0.16323012726864833,False
125,Uganda,Bwera,-1.5212216405137342,-1.2011077985720902,-0.2529510283956674,-0.9481567701764226,False,-0.44053842759798184,-0.7605693709741084,False
126,Mozambique,Matola-Rio,-0.078701852319363,1.017394396610095,0.217757237991931,0.7996371586181639,False,0.307654559685509,0.709739836924586,False
127,Palestine,Khan Yunis,-0.4790012615883811,0.8846256330645124,0.4743458956541625,0.4102797374103498,False,0.2716446050198549,0.6129810280446575,False
128,Israel,Ashkelon,-0.3278954539144229,0.9431272766680124,0.4383600268921669,0.5047672497758456,False,0.5026332853258062,0.44049399134220624,False
129,Syria,Latakia,0.3170071694616769,1.0859286160654216,0.6266938562306102,0.4592347598348113,False,0.15139771013259934,0.9345309059328222,False
130,Lebanon,Tyre,-0.2808628125366847,0.5225408500486374,0.408728231840256,0.1138126182083814,False,0.45241111684249885,0.07012973320613852,False
131,Jordan,Aqaba,0.0300377008853457,-0.3891206205386505,0.6403082321143867,-1.0294288526530373,False,0.4529392462710241,-0.8420598668096746,False
133,Malawi,Kasungu,-2.321692702247824,0.6343975561368452,0.0118329211430613,0.6225646349937839,False,-0.3102133291741991,0.9446108853110443,False
134,Saudi Arabia,Tabuk,-0.5139488381283036,-0.5153747244401913,0.3700601692473971,-0.8854348936875884,False,0.07901386225900167,-0.5943885866991929,False
135,Kenya,Busia,-0.4323080083136653,0.0613029472504385,-0.024882579215167,0.0861855264656056,False,0.18858199175704693,-0.12727904450660843,False
136,Georgia,Batumi,1.387656222870049,-0.3577199610543661,0.6106414194408019,-0.968361380495168,True,0.6195246379332972,-0.9772445989876632,True
137,Eritrea,Teseney,-1.279144265736563,-0.4348535312398279,0.0245962219250232,-0.4594497531648511,False,-0.13796716129992867,-0.29688636993989925,False
138,Iraq,Al-Qa'im,-0.195721663948259,-0.1315309782132157,0.3276763464583961,-0.4592073246716118,False,0.08414852202566922,-0.2156795002388849,False
139,Armenia,Gyumri,0.7594624578661712,1.7408473500809996,0.3761319090761944,1.364715441004805,False,0.5684251374521698,1.1724222126288297,False
140,Iran,Showt,-0.5048752930905563,-0.6834529432564842,-0.2532480344974021,-0.430204908759082,False,-0.3092679926109456,-0.3741849506455386,False
141,Kazakhstan,Oral,0.559520049300477,-0.6577851842589574,0.5107996940736935,-1.168584878332651,False,0.30672743545499426,-0.9645126197139516,False
142,Azerbaijan,Nakhchivan,0.4027143114609903,1.466905912049019,0.1482386932352854,1.3186672188137336,False,0.2558024606386119,1.2111034514104073,False
143,Russia,Derbent,0.1322633130052873,-0.0653420362297449,0.5821280509065128,-0.6474700871362576,False,0.3079015142113489,-0.3732435504410938,False
144,Somalia,Dhobley,-1.292938119860271,-1.5151143934149325,-0.0170625798870945,-1.4980518135278378,False,-0.1869396505240039,-1.3281747428909285,False
